event_id_cnty,event_date,event_type,country,admin1,admin2,admin3,latitude,longitude,fatalities
MZM2114,2021-03-27,Battles,Mozambique,"Cabo Delgado",Palma,Palma,-10.7722,40.4756,0
MZM2112,2021-03-26,Battles,Mozambique,"Cabo Delgado",Palma,Palma,-10.7722,40.4756,30
MZM2111,2021-03-25,Battles,Mozambique,"Cabo Delgado",Palma,Palma,-10.7722,40.4756,30
MZM2107,2021-03-24,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Olumbi,-11.2002,40.4503,0
MZM2109,2021-03-24,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Palma,-10.7722,40.4756,0
MZM2108,2021-03-24,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Olumbi,-11.0987,40.3211,0
MZM2113,2021-03-24,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2467,40.1208,17
MZM2122,2021-03-24,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0897,40.4192,17
MZM2216,2021-03-24,"Strategic developments",Mozambique,"Cabo Delgado",Palma,Palma,-10.7722,40.4756,0
MZM2110,2021-03-24,Battles,Mozambique,"Cabo Delgado",Palma,Palma,-10.7722,40.4756,37
MZM2106,2021-03-21,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-11.9215,40.4811,0
MZM2105,2021-03-17,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Palma,-10.7722,40.4756,0
MZM2103,2021-03-10,Battles,Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,8
MZM2104,2021-03-08,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,0
MZM2099,2021-03-07,Riots,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,1
MZM2100,2021-03-07,"Violence against civilians",Mozambique,Nampula,Nampula,Nampula,-15.1200,39.2647,0
MZM2102,2021-03-07,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,0
MZM2101,2021-03-07,Battles,Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,0
MZM2098,2021-03-06,Battles,Mozambique,"Cabo Delgado",Nangade,M'Tamba,-11.2418,39.8882,3
MZM2093,2021-03-04,"Violence against civilians",Mozambique,Sofala,Cheringoma,Inhamitanga,-18.3786,35.3900,0
MZM2092,2021-03-04,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0710,39.7538,0
MZM2096,2021-03-04,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2290,39.6327,0
MZM2097,2021-03-04,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.0772,39.6744,0
MZM2090,2021-03-03,Battles,Mozambique,"Cabo Delgado",Palma,Quionga,-10.6167,40.4083,0
MZM2087,2021-03-03,"Violence against civilians",Mozambique,"Cabo Delgado",Nangade,Nangade,-11.2518,39.6258,0
